method,mean_num_probes,exact_match_rate,mean_regret,median_regret,max_regret
exhaustive,128.0,0.1418,3.4762619317850595e-08,1.1034678813328066e-08,4.711396794354313e-07
actionset,14.543,0.2956,2.0869818547704066e-08,7.268498061474869e-09,4.298040211234111e-07
hierarchical,24.0,0.0597,8.225338507291406e-08,1.3433640073537168e-08,6.432597019891754e-06
compressed_sensing,16.0,0.0306,9.065891635135842e-08,1.4733109808402182e-08,1.8087840469110255e-06
ml_topk,15.0,0.1869,2.8437068828704127e-08,9.955575193393755e-09,5.093652280127599e-07
